step,timestamp,gene_dnaA,gene_rpoB,gene_gyrA,gene_ftsZ,gene_groEL,gene_atpD,gene_tufA,protein_DnaA,protein_RpoB,protein_GyrA,protein_FtsZ,protein_GroEL,protein_AtpD,protein_TufA,metabolite_glucose,metabolite_atp,metabolite_adp,metabolite_nadh,metabolite_amino_acids,pathway_glycolysis,pathway_translation,pathway_replication
12,6.0,3.113899405678076,2.4164881287358355,1.668587863729022,1.668587863729022,1.3541572840902718,1.974122510903472,2.4164881287358355,1.685893267349023,1.2738417027263063,0.8558030435846955,0.8558030435846955,0.6868163417687537,1.0237635278171044,1.2738417027263063,3.9519933833066045,2.475996691653302,1.0,0.6310008270866745,1.737998345826651,4.555066535242299,3.178736883046483,3.1214363172602475
13,6.5,3.221112528418568,2.508115460791021,1.738096329620554,1.738096329620554,1.4126964385445118,2.0533428380083665,2.508115460791021,1.682126417192036,1.2728525041097665,0.8564652996459746,0.8564652996459746,0.6877929356439288,1.0239089223764584,1.2728525041097665,3.8781935487239396,2.4390967743619694,1.0,0.6402258064095077,1.7195483871809847,4.555124094092276,3.183275344437514,3.127393157512552
14,7.0,3.330290325235821,2.6020680180072775,1.8098962518463795,1.8098962518463795,1.4733527043343557,2.1349288958567834,2.6020680180072775,1.6812773544633297,1.27426157935446,0.8588894409598353,0.8588894409598353,0.6902371064700913,1.026086698654055,1.27426157935446,3.8062387100058412,2.40311935500292,1.0,0.64922016124927,1.70155967750146,4.555984454307452,3.1889005569303452,3.1344421894113084
15,7.5,3.4413506732458155,2.6983176290559596,1.8840124422264606,1.8840124422264606,1.5361664985942267,2.2188857336978014,2.6983176290559596,1.6832472535713086,1.278006441113136,0.863045279967505,0.863045279967505,0.6941294136114424,1.0302545070637974,1.278006441113136,3.7360827422556953,2.368041371127847,1.0,0.6579896572180383,1.6840206855639235,4.557621759634552,3.195607733750412,3.142583207825291
16,8.0,3.554203734626859,2.796828920372387,1.960465549925463,1.960465549925463,1.6011757859669218,2.3052127508866533,2.796828920372387,1.6879399842584146,1.2840268420667889,0.8689046547172663,0.8689046547172663,0.6994523375800433,1.036372100482774,1.2840268420667889,3.667680673699303,2.3338403368496508,1.0,0.6665399157875873,1.6669201684248254,4.560003277282519,3.2033845071661116,3.1518085656074977
17,8.5,3.6687521004220245,2.8975591063418493,2.0392717015595134,2.0392717015595134,1.668415755777434,2.393903359296734,2.8975591063418493,1.6952617875560445,1.2922644776219956,0.8764412145203908,0.8764412145203908,0.706190114595477,1.0444010794410536,1.2922644776219956,3.60098865685682,2.3004943284284094,1.0,0.6748764178928977,1.6502471642142047,4.563090240840904,3.2122115102826747,3.1621036375968146
18,9.0,3.7848909955713705,3.000457817785219,2.120442141273582,2.120442141273582,1.7379184878956737,2.48494466079331,3.000457817785219,1.7051209730675265,1.3026626991855264,0.8856302073262108,0.8856302073262108,0.714328571063095,1.0543046419888338,1.3026626991855264,3.5359639404353995,2.2679819702176993,1.0,0.6830045074455752,1.6339909851088497,4.566838786043072,3.222063075525722,3.1734473984931193
19,9.5,3.902508546108153,3.1054669730929376,2.2039828739648164,2.2039828739648164,1.8097126089376094,2.5783171439969497,3.1054669730929376,1.717427638066854,1.3151662385535734,0.8964482688090206,0.8964482688090206,0.7238549577333805,1.0660473384893159,1.3151662385535734,3.4725648419245143,2.2362824209622567,1.0,0.6909293947594358,1.6181412104811284,4.571200942280971,3.232908017725666,3.185813086563254
20,10.0,4.021486108651325,3.2125206961427293,2.289894315119406,2.289894315119406,1.883822940749751,2.6739944047216544,3.2125206961427293,1.7320934088797946,1.329720944029463,0.9088732132465548,0.9088732132465548,0.7347577833654553,1.0795948316828914,1.329720944029463,3.4107507208764014,2.2053753604382003,1.0,0.6986561598904499,1.6026876802191001,4.576125643678291,3.2447104690214017,3.1991689242948573
21,10.5,4.141698661473513,3.321545284834139,2.3781709510032956,2.3781709510032956,1.9602701434267635,2.7719428945753237,3.321545284834139,1.7490312049726426,1.3462735289488434,0.9228838263593094,0.9228838263593094,0.7470266477828515,1.09491366246313,1.3462735289488434,3.3504819528544916,2.1752409764272453,1.0,0.7061897558931887,1.5876204882136227,4.5815597262740075,3.257430733936798,3.2134788679012187
22,11.0,4.263015255534931,3.4324592336798263,2.468801013192481,2.468801013192481,2.0390703554220497,2.8721217022501566,3.4324592336798263,1.7681550261123837,1.3647713333433968,0.938459660371156,0.938459660371156,0.7606520742792602,1.1119710218962273,1.3647713333433968,3.2917199040331293,2.145859952016564,1.0,0.713535011995859,1.572929976008282,4.587448882055192,3.271026135652841,3.2287033597374295
23,11.5,4.38529952296706,3.5451733134094483,2.561766171638404,2.561766171638404,2.120234833621347,2.974482371999983,3.5451733134094483,1.7893797628809411,1.3851620995114633,0.9555808316435583,0.9555808316435583,0.7756253414058308,1.1307345301014156,1.3851620995114633,3.2344269064323012,2.11721345321615,1.0,0.7206966366959625,1.558606726608075,4.593738545745686,3.285451828329187,3.2448000608913024
