parameter,perturbation,perturbation_value,infection_peak,tacrolimus_peak,sirolimus_peak,infection_pct_change,tacrolimus_pct_change,sirolimus_pct_change
translation_enhancement_factor,0%,2.0,276576.2209157249,3763050.619375907,101729.15644126713,0.0,0.0,0.0
translation_enhancement_factor,+20%,2.4,276576.2209157249,3763050.619375907,101729.15644126713,0.0,0.0,0.0
translation_enhancement_factor,+40%,2.8,276576.2209157249,3763050.619375907,101729.15644126713,0.0,0.0,0.0
mitochondrial_function_importance,-40%,0.48,276576.2209157249,3763050.619375907,101729.15644126713,0.0,0.0,0.0
mitochondrial_function_importance,-20%,0.6400000000000001,276576.2209157249,3763050.619375907,101729.15644126713,0.0,0.0,0.0
mitochondrial_function_importance,0%,0.8,276576.2209157249,3763050.619375907,101729.15644126713,0.0,0.0,0.0
mitochondrial_function_importance,+20%,0.96,276576.2209157249,3763050.619375907,101729.15644126713,0.0,0.0,0.0
mitochondrial_function_importance,+40%,1.1199999999999999,276576.2209157249,3763050.619375907,101729.15644126713,0.0,0.0,0.0
protein_degradation_inhibition,-40%,0.18,276576.2209157249,3763050.619375907,101729.15644126713,0.0,0.0,0.0
protein_degradation_inhibition,-20%,0.24,276576.2209157249,3763050.619375907,101729.15644126713,0.0,0.0,0.0
protein_degradation_inhibition,0%,0.3,276576.2209157249,3763050.619375907,101729.15644126713,0.0,0.0,0.0
protein_degradation_inhibition,+20%,0.36,276576.2209157249,3763050.619375907,101729.15644126713,0.0,0.0,0.0
protein_degradation_inhibition,+40%,0.42,276576.2209157249,3763050.619375907,101729.15644126713,0.0,0.0,0.0
early_replication_window_end,-40%,14.399999999999999,276576.2209157249,3763050.619375907,101729.15644126713,0.0,0.0,0.0
early_replication_window_end,-20%,19.200000000000003,276576.2209157249,3763050.619375907,101729.15644126713,0.0,0.0,0.0
early_replication_window_end,0%,24.0,276576.2209157249,3763050.619375907,101729.15644126713,0.0,0.0,0.0
early_replication_window_end,+20%,28.799999999999997,276576.2209157249,3763050.619375907,101729.15644126713,0.0,0.0,0.0
early_replication_window_end,+40%,33.599999999999994,276576.2209157249,3763050.619375907,101729.15644126713,0.0,0.0,0.0
