step,timestamp,gene_CD3E,gene_CD4,gene_CD8A,gene_ZAP70,gene_LCK,gene_NFATC1,gene_IL2,gene_IFNG,gene_PD1,gene_CTLA4,protein_CD3,protein_CD4,protein_CD8,protein_ZAP70,protein_LCK,protein_NFAT,protein_IL2,protein_IFNG,protein_PD1,protein_CTLA4,metabolite_atp,metabolite_calcium,metabolite_camp,pathway_tcr_signaling,pathway_activation,pathway_effector_function,pathway_checkpoint_inhibition
0,0.0,1.5,1.0,0.5,1.0,1.2,0.8,0.3,0.3,0.5,0.3,1.5,1.0,0.5,1.0,1.2,0.8,0.3,0.3,0.5,0.3,3.0,0.1,0.05,0.5,0.3,0.3,0.1
1,0.5,1.56375,1.045,0.52375,1.045,1.2528,0.8368000000000001,0.31455,0.31455,0.52375,0.31455,1.46409375,0.976125,0.48809375,0.976125,1.17132,0.7809200000000001,0.29286375,0.29286375,0.48809375,0.29286375,2.95,0.1225,0.07375000000000001,3.7432519363383525,3.62840575400513,3.727294131871419,2.985488667959621
2,1.0,1.6297109296875,1.091789875,0.5485659296875001,1.091789875,1.3075924608,0.8751388288000002,0.3297827914875,0.3297827914875,0.5485659296875001,0.3297827914875,1.4316318357421876,0.954613496875,0.4774032107421875,0.954613496875,1.1454438115199999,0.7637524707200001,0.2864651322871875,0.2864651322871875,0.4774032107421875,0.2864651322871875,2.90125,0.1444375,0.09690625000000001,3.737047008376085,3.621059249681982,3.706222222323428,2.9720359046843092
3,1.5,1.6979166876001606,1.1404193430942373,0.5744896032758056,1.1404193430942373,1.364423093622295,0.9150664303916329,0.34572814761406856,0.34572814761406856,0.5744896032758056,0.34572814761406856,1.4024981611450822,0.9353933056086059,0.46789529028697324,0.9353933056086059,1.1222821982845572,0.7484415079437909,0.28078507936317987,0.28078507936317987,0.46789529028697324,0.28078507936317987,2.85371875,0.1658265625,0.11948359375,3.7314498834421195,3.6143958061262316,3.68692334049382,2.9597437487478064
4,2.0,1.768397916590013,1.1909375288584316,0.6015638919182359,1.1909375288584316,1.4233359964113605,0.9566330190510661,0.3624169152345087,0.3624169152345087,0.6015638919182359,0.3624169152345087,1.3765832010025785,0.9183970785496364,0.4595396230705805,0.9183970785496364,1.1017514882806134,0.7349352580228781,0.27580624827588357,0.27580624827588357,0.4595396230705805,0.27580624827588357,2.80737578125,0.1866808984375,0.14149650390625002,3.7265230596702335,3.608484512194904,3.669527177118821,2.9487086726416036
5,2.5,1.841181656462514,1.243392744313136,0.6298326909338486,1.243392744313136,1.484373369438527,0.9998889363379256,0.37988103089399367,0.37988103089399367,0.6298326909338486,0.37988103089399367,1.3537835823640123,0.9035620432299829,0.4523084591903977,0.9035620432299829,1.083773248102546,0.7231857185301823,0.2715129616344392,0.2715129616344392,0.4523084591903977,0.2715129616344392,2.76219138671875,0.20701387597656248,0.16295909130859376,3.7223257791333824,3.6033906549845502,3.6541519364484802,2.939019982801633
6,3.0,1.9162909898251697,1.29783225394574,0.6593408793876963,1.29783225394574,1.547575216410962,1.044884493729767,0.3981535344505279,0.3981535344505279,0.6593408793876963,0.3981535344505279,1.334001677991441,0.8908297474171273,0.44617655821557023,0.8908297474171273,1.0682739661076928,0.7131485449469174,0.26789115191398044,0.26789115191398044,0.44617655821557023,0.26789115191398044,2.718136602050781,0.2268385290771484,0.18388511402587893,3.7189129611414113,3.5991745373244233,3.6409023500600277,2.9307582900616005
7,3.5,1.9937446835280026,1.3543020238461176,0.6901342713809223,1.3543020238461176,1.612979031979263,1.0916698003900709,0.4172685799880771,0.4172685799880771,0.6901342713809223,0.4172685799880771,1.317145211180069,0.8801458106424238,0.4411210870893148,0.8801458106424238,1.0551847436017896,0.7047828627093233,0.26492830881798335,0.26492830881798335,0.4411210870893148,0.26492830881798335,2.6751831869995115,0.2461675658502197,0.20428798617523194,3.7163341937843115,3.595890362881082,3.629867872899423,2.9239941002630427
8,4.0,2.073556828388922,1.412846455179455,0.722259558387296,1.412846455179455,1.6806194767902023,1.140294575644156,0.4372614436482546,0.4372614436482546,0.722259558387296,0.4372614436482546,1.3031268713307886,0.871459681489789,0.43712152169453145,0.871459681489789,1.0444409933414551,0.6980510839649611,0.2626134294682905,0.2626134294682905,0.43712152169453145,0.2626134294682905,2.6333036073245237,0.2650133767039642,0.22418078652085116,3.714632821389385,3.5935852306431197,3.621121118616144,2.918786572966712
9,4.5,2.1557364802055763,1.473508102408862,0.7557642419582518,1.473508102408862,1.7505280415008795,1.1908079458301464,0.45816852798016056,0.45816852798016056,0.7557642419582518,0.45816852798016056,1.2918639397693885,0.8647243999755211,0.4341595516587612,0.8647243999755211,1.0359821447119044,0.6929187284124667,0.26093697119438003,0.26093697119438003,0.4341595516587612,0.26093697119438003,2.5924710171414107,0.2833880422863651,0.24357626685782988,3.7138451628557823,3.5922982775682994,3.614716585154895,2.915182491857273
10,5.0,2.2402873053554093,1.5363273768899823,0.7906965561090507,1.5363273768899823,1.822732701455519,1.2432582253023927,0.48002736237901106,0.48002736237901106,0.7906965561090507,0.48002736237901106,1.2832779254148043,0.8598963643989946,0.4322189879785494,0.8598963643989946,1.029751355012697,0.6893542476244032,0.2598908066941363,0.2598908066941363,0.4322189879785494,0.2598908066941363,2.5526592417128753,0.301303341229206,0.2624868601863841,3.7139998908987044,3.592060002728047,3.6106897128246462,2.9132154836332673
11,5.5,2.327207234570497,1.601342236689573,0.8271053786952897,1.601342236689573,1.8972575640235183,1.297692681493602,0.5028765991547989,0.5028765991547989,0.8271053786952897,0.5028765991547989,1.2772942100083267,0.8569351020962842,0.43128567304700416,0.8569351020962842,1.0256952263626502,0.6873288522805231,0.2594681813382994,0.2594681813382994,0.43128567304700416,0.2594681813382994,2.5138427606700535,0.31877075769847585,0.2809246886817245,3.715117595350379,3.5928917986647417,3.6090563060727634,2.912905513244786
12,6.0,2.4164881287358355,1.668587863729022,0.8650401310927207,1.668587863729022,1.974122510903472,1.3541572840902718,0.5267560047426514,0.5267560047426514,0.8650401310927207,0.5267560047426514,1.2738417027263063,0.8558030435846955,0.431347392671972,0.8558030435846955,1.0237635278171044,0.6868163417687537,0.2596636723899507,0.2596636723899507,0.431347392671972,0.2596636723899507,2.475996691653302,0.33580148875601395,0.2989015714646814,3.717210545287016,3.5948057063828993,3.609812337516547,2.9142586727798356
13,6.5,2.508115460791021,1.738096329620554,0.9045506655053522,1.738096329620554,2.0533428380083665,1.4126964385445118,0.5517064455371218,0.5517064455371218,0.9045506655053522,0.5517064455371218,1.2728525041097665,0.8564652996459746,0.43239378967600717,0.8564652996459746,1.0239089223764584,0.6877929356439288,0.2604731499088812,0.2604731499088812,0.43239378967600717,0.2604731499088812,2.4390967743619694,0.3524064515371136,0.31642903217806434,3.720282655485796,3.597804400086501,3.6129341391269003,2.9172672697454827
14,7.0,2.6020680180072775,1.8098962518463795,0.945687139248289,1.8098962518463795,2.1349288958567834,1.4733527043343557,0.5777698678037418,0.5777698678037418,0.945687139248289,0.5777698678037418,1.27426157935446,0.8588894409598353,0.43441627867341404,0.8588894409598353,1.026086698654055,0.6902371064700913,0.2618937391085307,0.2618937391085307,0.43441627867341404,0.2618937391085307,2.40311935500292,0.36859629024868573,0.33351830637361274,3.7243296532508126,3.6018813972066437,3.6183789715962678,2.921910208664481
15,7.5,2.6983176290559596,1.8840124422264606,0.9884998753840053,1.8840124422264606,2.2188857336978014,1.5361664985942267,0.6049892710932192,0.6049892710932192,0.9884998753840053,0.6049892710932192,1.278006441113136,0.863045279967505,0.4374079616243435,0.863045279967505,1.0302545070637974,0.6941294136114424,0.26392378393043464,0.26392378393043464,0.4374079616243435,0.26392378393043464,2.368041371127847,0.3843813829924686,0.3501803487142724,3.7293394326759217,3.607021479206093,3.6260859496460474,2.9281536485546407
16,8.0,2.796828920372387,1.960465549925463,1.0330392091350347,1.960465549925463,2.3052127508866533,1.6011757859669218,0.6334086745571906,0.6334086745571906,1.0330392091350347,0.6334086745571906,1.2840268420667889,0.8689046547172663,0.44136354377150216,0.8689046547172663,1.036372100482774,0.6994523375800433,0.2665628115978427,0.2665628115978427,0.44136354377150216,0.2665628115978427,2.3338403368496508,0.3997718484176569,0.3664258399964156,3.7352925755638418,3.6132012998037495,3.635977289074944,2.935951908670002
17,8.5,2.8975591063418493,2.0392717015595134,1.0793553195537346,2.0392717015595134,2.393903359296734,1.668415755777434,0.6630730755400287,0.6630730755400287,1.0793553195537346,0.6630730755400287,1.2922644776219956,0.8764412145203908,0.4462792495717704,0.8764412145203908,1.0444010794410536,0.706190114595477,0.26981149790645126,0.26981149790645126,0.4462792495717704,0.26981149790645126,2.3004943284284094,0.41477755220721546,0.3822651939965052,3.7421630119941875,3.6203901501990043,3.6479598313449904,2.9452485864438396
18,9.0,3.000457817785219,2.120442141273582,1.1274980460021766,2.120442141273582,2.48494466079331,1.7379184878956737,0.6940283997994996,0.6940283997994996,1.1274980460021766,0.6940283997994996,1.3026626991855264,0.8856302073262108,0.4521527382432363,0.8856302073262108,1.0543046419888338,0.714328571063095,0.2736716330061162,0.2736716330061162,0.4521527382432363,0.2736716330061162,2.2679819702176993,0.42940811340203505,0.3977085641465926,3.749918789255612,3.628550845973421,3.661926793913693,2.9559778453100165
19,9.5,3.1054669730929376,2.2039828739648164,1.1775166890835917,2.2039828739648164,2.5783171439969497,1.8097126089376094,0.7263214426908333,0.7263214426908333,1.1775166890835917,0.7263214426908333,1.3151662385535734,0.8964482688090206,0.4589830185581643,0.8964482688090206,1.0660473384893159,0.7238549577333805,0.2781460874230812,0.2781460874230812,0.4589830185581643,0.2781460874230812,2.2362824209622567,0.44367291056698416,0.4127658500429278,3.758522915665157,3.637640697774096,3.6777596896286675,2.968065826232567
20,10.0,3.2125206961427293,2.289894315119406,1.2294597957724194,2.289894315119406,2.6739944047216544,1.883822940749751,0.7599998006348125,0.7599998006348125,1.2294597957724194,0.7599998006348125,1.329720944029463,0.9088732132465548,0.4667703625245666,0.9088732132465548,1.0795948316828914,0.7347577833654553,0.28323877806779746,0.28323877806779746,0.4667703625245666,0.28323877806779746,2.2053753604382003,0.45758108780280954,0.4274467037918546,3.767934245640685,3.6476125276001903,3.6953303563880304,2.981432135391751
